city,date,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,boundary_layer_height,pressure_msl
Beijing,2023-08-23,57.987500000000004,24.195833333333336,69.875,7.641666666666667,368.7768241666667,1007.6875
Beijing,2023-08-24,67.9375,21.445833333333336,84.375,6.783333333333334,231.2251912083333,1010.7041666666668
Beijing,2023-08-25,74.41666666666667,22.09166666666667,84.25,5.891666666666667,308.03782758333335,1010.5208333333334
Beijing,2023-08-26,84.24166666666666,23.2625,75.08333333333333,6.575,378.904631875,1011.9208333333332
Beijing,2023-08-27,98.08749999999999,22.3,80.625,5.854166666666667,205.772063625,1012.1041666666666
Beijing,2023-08-28,67.44166666666666,23.375,64.04166666666667,9.366666666666667,636.3086961875,1010.0458333333332
Beijing,2023-08-29,28.458333333333332,22.620833333333334,62.708333333333336,9.883333333333333,572.0503826666667,1011.1166666666667
Beijing,2023-08-30,50.6,23.066666666666666,69.91666666666667,7.091666666666666,379.1790656041667,1011.4333333333334
Beijing,2023-08-31,74.13333333333334,22.8125,78.375,7.6499999999999995,376.35768304166663,1010.4499999999999
Beijing,2023-09-01,84.05833333333334,23.400000000000002,75.70833333333333,6.1375,282.0774466666667,1013.65
Beijing,2023-09-02,99.42083333333333,23.15416666666667,80.95833333333333,6.641666666666667,427.4086002083333,1011.7708333333334
Beijing,2023-09-03,125.39166666666667,23.991666666666664,81.70833333333333,5.0125,355.9732824166667,1009.6166666666667
Beijing,2023-09-04,138.50416666666666,25.3875,83.125,5.670833333333333,387.7859197083333,1011.5958333333333
Beijing,2023-09-05,131.88750000000002,25.858333333333334,82.04166666666667,5.191666666666666,368.8773249583333,1014.8041666666667
Beijing,2023-09-06,129.88333333333333,25.916666666666668,80.08333333333333,6.658333333333334,432.96112958333333,1014.8874999999999
Beijing,2023-09-07,121.52916666666665,26.170833333333334,76.41666666666667,9.508333333333333,498.1914735416667,1012.9666666666667
Beijing,2023-09-08,125.19583333333333,24.320833333333336,85.83333333333333,5.666666666666667,156.74018033333334,1012.3291666666668
Beijing,2023-09-09,98.60833333333333,21.554166666666664,92.54166666666667,8.833333333333334,237.03458241666667,1011.9333333333334
Beijing,2023-09-10,79.6375,21.933333333333334,84.83333333333333,5.5375000000000005,219.91448033333333,1010.0333333333333
Beijing,2023-09-11,84.16250000000001,23.02916666666667,83.0,6.616666666666667,331.48536204166663,1008.85
Beijing,2023-09-12,34.37083333333333,21.587500000000002,62.5,8.25,374.97637520833337,1014.8874999999999
Beijing,2023-09-13,58.05833333333334,20.758333333333333,69.125,8.174999999999999,394.18401529166664,1014.0541666666667
Beijing,2023-09-14,61.012499999999996,21.520833333333332,71.5,8.666666666666666,356.03638912499997,1013.4333333333334
Beijing,2023-09-15,70.47500000000001,21.46666666666667,74.41666666666667,8.245833333333334,366.2836089166667,1011.875
Beijing,2023-09-16,118.05,22.708333333333332,76.25,7.0375000000000005,345.9834147083333,1010.9041666666667
Beijing,2023-09-17,133.15833333333333,22.724999999999998,77.83333333333333,7.2250000000000005,370.00458375,1008.725
Beijing,2023-09-18,95.59166666666665,22.59166666666667,82.45833333333333,5.241666666666667,267.5981366666667,1009.1625
Beijing,2023-09-19,58.62083333333334,20.900000000000002,57.75,9.8125,318.94516595833335,1015.4416666666666
Beijing,2023-09-20,49.69166666666666,19.566666666666666,65.41666666666667,7.745833333333334,311.698671125,1017.8375
Beijing,2023-09-21,60.9625,19.654166666666665,72.125,8.229166666666666,284.588094375,1015.2458333333334
Beijing,2023-09-22,37.44583333333333,20.904166666666665,64.25,9.958333333333334,512.7474023333333,1017.3874999999999
Beijing,2023-09-23,51.77916666666667,19.866666666666667,59.208333333333336,6.675,441.1991776666667,1022.3458333333333
Beijing,2023-09-24,78.84583333333333,16.554166666666667,76.04166666666667,4.841666666666667,216.66742908333333,1018.9666666666667
Beijing,2023-09-25,85.23333333333333,17.108333333333334,82.75,6.291666666666667,241.7748286875,1015.6166666666667
Beijing,2023-09-26,110.40833333333335,18.791666666666668,87.25,6.954166666666667,239.28471008333335,1013.9416666666666
Beijing,2023-09-27,84.27499999999999,20.05,68.29166666666667,10.108333333333333,357.4018755833333,1013.4833333333332
Beijing,2023-09-28,47.09583333333333,17.233333333333334,51.958333333333336,8.816666666666666,244.91820691666666,1017.4583333333334
Beijing,2023-09-29,64.87083333333334,18.670833333333334,51.791666666666664,7.991666666666667,402.91321987500004,1013.6041666666666
Beijing,2023-09-30,37.824999999999996,17.724999999999998,45.916666666666664,11.85,696.0253631666666,1016.3708333333334
Beijing,2023-10-01,45.65833333333333,16.129166666666666,55.25,8.183333333333334,339.97022666666663,1017.9375
Beijing,2023-10-02,60.75833333333333,16.429166666666667,65.66666666666667,8.670833333333333,269.5677053125,1016.6958333333333
Beijing,2023-10-03,67.71666666666667,17.841666666666665,69.54166666666667,8.6625,283.2581407916667,1014.4458333333333
Beijing,2023-10-04,31.170833333333334,18.704166666666666,42.791666666666664,16.958333333333332,767.6873246666668,1020.1583333333333
Beijing,2023-10-05,36.30833333333333,14.1,47.0,7.8999999999999995,341.03318129166666,1024.6208333333334
Beijing,2023-10-06,65.42916666666666,15.275,59.166666666666664,7.4624999999999995,244.47606666666664,1021.5208333333334
Beijing,2023-10-07,82.39999999999999,14.65,69.66666666666667,8.891666666666667,341.4171132083334,1020.6999999999999
Beijing,2023-10-08,53.14166666666667,15.779166666666667,64.79166666666667,6.9375,501.9721114166667,1019.6416666666668
Beijing,2023-10-09,35.020833333333336,15.983333333333334,54.041666666666664,11.4125,725.55148875,1023.5833333333334
Beijing,2023-10-10,77.16666666666667,15.174999999999999,62.666666666666664,7.141666666666667,320.18285383333335,1026.1125
Beijing,2023-10-11,107.24166666666667,15.291666666666666,70.54166666666667,7.329166666666667,312.91566016666667,1025.8791666666666
Beijing,2023-10-12,144.25416666666666,15.329166666666667,79.20833333333333,4.820833333333334,184.42736524999998,1024.8625
Beijing,2023-10-13,100.1875,15.375,70.83333333333333,8.266666666666667,548.1166333333333,1018.1541666666667
Beijing,2023-10-14,31.479166666666668,14.745833333333332,49.791666666666664,10.362499999999999,355.873166875,1013.4875000000001
Beijing,2023-10-15,49.59166666666667,14.470833333333333,50.541666666666664,10.895833333333334,311.57954675,1015.4499999999999
Beijing,2023-10-16,73.88333333333334,13.404166666666667,51.916666666666664,7.745833333333334,321.25820691666667,1021.4833333333332
Beijing,2023-10-17,113.15416666666665,14.112499999999999,73.0,5.995833333333334,236.57591304166667,1017.3458333333333
Beijing,2023-10-18,48.987500000000004,16.479166666666668,54.375,12.579166666666666,550.3076763333333,1017.0875
Beijing,2023-10-19,19.029166666666665,13.741666666666667,33.916666666666664,17.3875,743.8067592083333,1022.4041666666667
Beijing,2023-10-20,22.925,11.3125,38.083333333333336,14.479166666666666,591.5156571250001,1026.1833333333334
Beijing,2023-10-21,33.454166666666666,12.058333333333332,47.625,9.516666666666667,322.5259723333333,1022.8166666666666
Beijing,2023-10-22,71.67916666666666,12.112499999999999,61.958333333333336,6.608333333333333,169.52565145833333,1019.35
Beijing,2023-10-23,150.88750000000002,12.700000000000001,74.5,5.304166666666666,189.90874929166668,1016.3041666666667
Beijing,2023-10-24,135.99583333333334,14.208333333333334,72.54166666666667,8.137500000000001,169.99827175,1014.5708333333333
Beijing,2023-10-25,76.21666666666667,15.275,61.083333333333336,8.183333333333334,195.18332779166667,1014.4416666666666
Beijing,2023-10-26,40.425000000000004,13.833333333333334,43.0,9.733333333333333,292.07007654166665,1020.7041666666668
Beijing,2023-10-27,92.53750000000001,12.095833333333333,67.20833333333333,7.1499999999999995,152.40434508333334,1017.8291666666668
Beijing,2023-10-28,127.49166666666667,13.458333333333334,73.375,6.970833333333334,200.32339462500002,1016.9833333333332
Beijing,2023-10-29,170.34583333333333,13.866666666666667,84.95833333333333,6.583333333333333,218.78865166666665,1016.3000000000001
Beijing,2023-10-30,110.60416666666667,15.091666666666667,74.75,10.266666666666667,307.9278445,1017.7166666666667
Beijing,2023-10-31,136.12916666666666,15.716666666666667,79.54166666666667,6.166666666666667,218.38349491666668,1014.9333333333334
Beijing,2023-11-01,132.11249999999998,15.091666666666667,86.08333333333333,7.6875,241.10956033333332,1013.0583333333334
Beijing,2023-11-02,80.5,15.674999999999999,68.83333333333333,9.808333333333334,315.54001224999996,1010.4916666666667
Beijing,2023-11-03,28.900000000000002,12.208333333333334,50.541666666666664,14.637500000000001,577.3958462916667,1019.5541666666667
Beijing,2023-11-04,88.42916666666667,11.616666666666667,74.54166666666667,5.195833333333334,334.74087325,1021.0375
Beijing,2023-11-05,64.00833333333334,10.316666666666666,78.08333333333333,11.916666666666666,449.0406004583333,1017.25
